age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,us-native,income
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,1,0
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,1,0
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,1,0
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,1,0
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,0,0
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,1,0
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,0,0
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,1,1
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,1,1
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,1,1
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,1,1
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,0,1
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,1,0
32,Private,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,1,0
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,0,0
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,1,0
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,1,0
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1,0
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,1,1
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,1,1
54,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,1,0
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,1,0
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,1,0
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,1,0
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,1,1
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,1,0
39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,1,0
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1,0
23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,1,0
20,Private,10,Never-married,Sales,Own-child,Black,Male,0,0,44,1,0
45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,1,0
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,1,0
22,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,1,0
48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,0,0
21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,1,0
19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,1,0
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1,0
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,1,0
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,1,0
24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,1,0
49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,1,0
25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,1,0
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,1,1
53,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,1,0
44,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,1,0
41,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1,0
29,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,1,0
25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,1,0
47,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,0,1
