age,workclass,education-num,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,us-native,income
39,State-gov,13,Never-married,Adm-clerical,White,Male,2174,0,40,1,0
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,13,1,0
38,Private,9,Divorced,Handlers-cleaners,White,Male,0,0,40,1,0
53,Private,7,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,1,0
28,Private,13,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,0,0
37,Private,14,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,1,0
49,Private,5,Married-spouse-absent,Other-service,Black,Female,0,0,16,0,0
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,1,1
31,Private,14,Never-married,Prof-specialty,White,Female,14084,0,50,1,1
42,Private,13,Married-civ-spouse,Exec-managerial,White,Male,5178,0,40,1,1
37,Private,10,Married-civ-spouse,Exec-managerial,Black,Male,0,0,80,1,1
30,State-gov,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,0,1
23,Private,13,Never-married,Adm-clerical,White,Female,0,0,30,1,0
32,Private,12,Never-married,Sales,Black,Male,0,0,50,1,0
34,Private,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,0,0
25,Self-emp-not-inc,9,Never-married,Farming-fishing,White,Male,0,0,35,1,0
32,Private,9,Never-married,Machine-op-inspct,White,Male,0,0,40,1,0
38,Private,7,Married-civ-spouse,Sales,White,Male,0,0,50,1,0
43,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Female,0,0,45,1,1
40,Private,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,1,1
54,Private,9,Separated,Other-service,Black,Female,0,0,20,1,0
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,1,0
43,Private,7,Married-civ-spouse,Transport-moving,White,Male,0,2042,40,1,0
59,Private,9,Divorced,Tech-support,White,Female,0,0,40,1,0
56,Local-gov,13,Married-civ-spouse,Tech-support,White,Male,0,0,40,1,1
19,Private,9,Never-married,Craft-repair,White,Male,0,0,40,1,0
39,Private,9,Divorced,Exec-managerial,White,Male,0,0,80,1,0
49,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
23,Local-gov,12,Never-married,Protective-serv,White,Male,0,0,52,1,0
20,Private,10,Never-married,Sales,Black,Male,0,0,44,1,0
45,Private,13,Divorced,Exec-managerial,White,Male,0,1408,40,1,0
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,0
22,State-gov,10,Married-civ-spouse,Other-service,Black,Male,0,0,15,1,0
48,Private,7,Never-married,Machine-op-inspct,White,Male,0,0,40,0,0
21,Private,10,Never-married,Machine-op-inspct,White,Male,0,0,40,1,0
19,Private,9,Married-AF-spouse,Adm-clerical,White,Female,0,0,25,1,0
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,0
31,Private,5,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,43,1,0
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,0
24,Private,13,Married-civ-spouse,Tech-support,White,Male,0,0,50,1,0
49,Private,9,Separated,Adm-clerical,White,Female,0,0,40,1,0
25,Private,9,Never-married,Handlers-cleaners,White,Male,0,0,35,1,0
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,1,1
53,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,38,1,0
44,Private,14,Divorced,Exec-managerial,White,Female,0,0,40,1,0
41,State-gov,11,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
29,Private,11,Never-married,Prof-specialty,White,Male,0,0,43,1,0
25,Private,10,Married-civ-spouse,Exec-managerial,Other,Female,0,0,40,1,0
47,Private,15,Married-civ-spouse,Prof-specialty,White,Female,0,1902,60,0,1
50,Federal-gov,13,Divorced,Exec-managerial,White,Male,0,0,55,1,1
